segment,start_block,current_balance_cell,change_count,event_count,latest_processed_block,events_file,summary_file
1,66418406,0,1,1,66419143,auto_trace_843b_segment_01_events.csv,auto_trace_843b_segment_01_summary.json
2,67000671,0,1,1,67001149,auto_trace_843b_segment_02_events.csv,auto_trace_843b_segment_02_summary.json
3,67686653,0,1,1,67686807,auto_trace_843b_segment_03_events.csv,auto_trace_843b_segment_03_summary.json
4,67814528,0,1,1,67814598,auto_trace_843b_segment_04_events.csv,auto_trace_843b_segment_04_summary.json
5,68010594,0,1,1,68011446,auto_trace_843b_segment_05_events.csv,auto_trace_843b_segment_05_summary.json
6,68028357,0,1,1,68028819,auto_trace_843b_segment_06_events.csv,auto_trace_843b_segment_06_summary.json
7,68391119,0,1,1,68391561,auto_trace_843b_segment_07_events.csv,auto_trace_843b_segment_07_summary.json
8,68927092,0,1,1,68927216,auto_trace_843b_segment_08_events.csv,auto_trace_843b_segment_08_summary.json
9,68959947,0,1,1,68960542,auto_trace_843b_segment_09_events.csv,auto_trace_843b_segment_09_summary.json
10,69308023,0,1,1,69308119,auto_trace_843b_segment_10_events.csv,auto_trace_843b_segment_10_summary.json
11,69309869,0,1,1,69310239,auto_trace_843b_segment_11_events.csv,auto_trace_843b_segment_11_summary.json
12,69982313,0,2,2,69982936,auto_trace_843b_segment_12_events.csv,auto_trace_843b_segment_12_summary.json
13,69982406,0,1,1,69982936,auto_trace_843b_segment_13_events.csv,auto_trace_843b_segment_13_summary.json
14,70095138,0,1,1,70095716,auto_trace_843b_segment_14_events.csv,auto_trace_843b_segment_14_summary.json
15,70108846,0,1,1,70109364,auto_trace_843b_segment_15_events.csv,auto_trace_843b_segment_15_summary.json
16,71237560,0,1,1,71237696,auto_trace_843b_segment_16_events.csv,auto_trace_843b_segment_16_summary.json
17,71706389,0,1,1,71706848,auto_trace_843b_segment_17_events.csv,auto_trace_843b_segment_17_summary.json
18,71831132,0,1,1,71831294,auto_trace_843b_segment_18_events.csv,auto_trace_843b_segment_18_summary.json
19,71836566,0,2,2,71836678,auto_trace_843b_segment_19_events.csv,auto_trace_843b_segment_19_summary.json
20,71836618,0,1,1,71836678,auto_trace_843b_segment_20_events.csv,auto_trace_843b_segment_20_summary.json
21,72049312,0,1,1,72050176,auto_trace_843b_segment_21_events.csv,auto_trace_843b_segment_21_summary.json
22,72051472,0,1,1,72051670,auto_trace_843b_segment_22_events.csv,auto_trace_843b_segment_22_summary.json
23,72058617,0,1,1,72058806,auto_trace_843b_segment_23_events.csv,auto_trace_843b_segment_23_summary.json
24,72638092,0,1,1,72638604,auto_trace_843b_segment_24_events.csv,auto_trace_843b_segment_24_summary.json
25,72639580,0,1,1,72640358,auto_trace_843b_segment_25_events.csv,auto_trace_843b_segment_25_summary.json
26,73322726,0,1,1,73323078,auto_trace_843b_segment_26_events.csv,auto_trace_843b_segment_26_summary.json
27,73327840,0,1,1,73328168,auto_trace_843b_segment_27_events.csv,auto_trace_843b_segment_27_summary.json
28,73445265,0,1,1,73445310,auto_trace_843b_segment_28_events.csv,auto_trace_843b_segment_28_summary.json
29,73469641,0,1,1,73470290,auto_trace_843b_segment_29_events.csv,auto_trace_843b_segment_29_summary.json
30,73552295,0,1,1,73553080,auto_trace_843b_segment_30_events.csv,auto_trace_843b_segment_30_summary.json
31,73552564,0,1,1,73553080,auto_trace_843b_segment_31_events.csv,auto_trace_843b_segment_31_summary.json
