recipient,amount_cell,txs,share_of_total_out_percent
0x9d9f224b5201a0bc6baefab4a42f31c00db3bb2d,3880000,28,17.55647770718404058188035888
0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,3317000,33,15.00897849348697489950957485
0x8c85de6323e1808f160cedf67af299d6bbb405bd,3281000,13,14.84608333950279307967769523
0x3a1d9d7ce77616c381e913a1293a44feb9b99b14,2780000,26,12.57912577988959608701737054
0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,2715000,5,12.28500952964037891232092123
0xe0ca82008f52dd94a4314c4869a0294e8c136f1d,2000000,1,9.049730776898989990659978804
0x18ec3e97b76ad4524bd76b1339d319fa4a41f685,698451,3,3.160396755427938228983226428
0x10a407d7da6655f89effcd7faa0673608a0fdfd1,670000,4,3.031659810261161646871092900
0x49a30e4432cae51f1b600dd21a9d08bded6ca9df,630000,4,2.850665194723181847057893323
0x52105eee8e836ff9e60cb02c0a665cbe2fc3a30d,593000,3,2.683245175350550532230683716
0x4cb57ffc74460772c84e07b684cf59b730802810,410106,2,1.855674444995468594554800634
0x65def3ea531fd80354ec11c611ae4faa06068f27,400000,2,1.809946155379797998131995761
0x0b88f2d704314099e089362a5965352ced8ff925,287547.956772277227722773,1,1.301115797118248793149872354
0x3d30b8eac0531ad60f98d933dc91b965551f949c,200000,2,0.9049730776898989990659978804
0x7d1a7fd9eb07e6d9f68bb94f8024d3b613d658fc,138000,1,0.6244314236060303093555385375
0x71f95edf9dd132970036fa3202d313ac2a4b9468,100000,1,0.4524865388449494995329989402
